Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2020,33,Bubba Wallace,24,22,18,13,28,20,-10,87,97,14,16.1,0,14,5.2,0,0,267,66.3
2020,33,Michael McDowell,26,2,19,2,27,22,23,74,51,14,18.9,1,33,12.4,0,0,267,59.1
2020,33,Erik Jones,11,29,20,4,32,19,-10,70,80,39,55.7,14,102,38.2,0,0,267,76.9
2020,33,Chris Buescher,21,30,21,8,30,23,-16,64,80,0,0,1,5,1.9,0,0,267,58.9
2020,33,Ryan Newman,28,3,22,1,32,22,1,87,86,16,18.4,0,35,13.1,1,0.4,267,54.3
2020,33,Corey LaJoie,29,4,23,1,31,25,8,61,53,11,18,0,25,9.4,1,0.4,267,51.3
2020,33,Ty Dillon,25,5,24,5,30,27,-17,48,65,10,20.8,0,12,4.5,0,0,266,47.7
2020,33,Tyler Reddick,15,21,25,6,30,18,19,94,75,30,31.9,5,98,36.8,0,0,266,70.7
2020,33,Clint Bowyer,12,17,26,4,27,13,-23,105,128,88,83.8,1,227,85.3,0,0,266,80.9
2020,33,Daniel Suarez,27,31,27,16,33,30,-6,20,26,0,0,0,0,0,0,0,265,44.7
2020,33,Brennan Poole,35,33,28,7,35,31,2,13,11,0,0,0,2,0.8,0,0,263,42.5
2020,33,Ryan Preece,19,28,29,5,32,23,-12,89,101,11,12.4,0,17,6.5,0,0,262,53.8
2020,33,J.J. Yeley,34,32,30,30,35,32,-1,11,12,0,0,0,0,0,0,0,261,39.8
2020,33,Jimmie Johnson,14,24,31,8,31,21,-4,90,94,20,22.2,1,39,14.9,0,0,261,57.7
2020,33,James Davison,33,36,32,32,40,35,4,14,10,0,0,0,0,0,0,0,258,34.2
2020,33,Quin Houff,31,35,33,31,38,34,-6,6,12,0,0,0,0,0,0,0,258,35.3
2020,33,Timmy Hill,37,34,34,33,40,36,5,16,11,0,0,2,0,0,0,0,256,30.2
2020,33,Josh Bilicki,39,37,35,34,40,36,10,21,11,0,0,1,0,0,0,0,254,34.2
2020,33,Reed Sorenson,36,38,36,34,38,37,-3,10,13,0,0,0,0,0,0,0,250,29.5
2020,33,Joey Gase,38,40,37,36,40,39,1,9,8,0,0,1,0,0,0,0,228,25.9
2020,33,Kurt Busch,3,13,38,1,32,18,-10,83,93,55,66.3,7,142,72.1,2,1,197,73.2
2020,33,Chad Finchum,40,39,39,34,40,39,-5,3,8,0,0,0,0,0,0,0,154,24.2
2020,33,Matt Kenseth,30,27,40,18,31,32,-6,41,47,0,0,0,0,0,0,0,144,45.3
2020,32,Chase Elliott,2,32,1,1,36,8,20,84,64,40,47.6,15,91,83.5,27,24.8,109,129.6
2020,32,Joey Logano,8,23,2,2,32,8,20,67,47,36,53.7,3,90,82.6,0,0,109,122.5
2020,32,Erik Jones,14,10,3,1,32,11,-7,99,106,38,38.4,1,83,76.1,1,0.9,109,102.5
2020,32,Kurt Busch,10,5,4,3,30,9,26,57,31,44,77.2,3,97,89,0,0,109,110.8
2020,32,Ryan Blaney,24,15,5,1,34,12,-2,84,86,24,28.6,23,74,67.9,14,12.8,109,108.9
2020,32,William Byron,13,1,6,1,33,8,50,93,43,41,44.1,8,91,83.5,27,24.8,109,118.4
2020,32,"Martin Truex, Jr.",7,22,7,1,32,11,42,67,25,38,56.7,5,82,75.2,0,0,109,106.5
2020,32,Alex Bowman,5,21,8,1,32,11,3,67,64,23,34.3,1,77,70.6,2,1.8,109,93.7
2020,32,Cole Custer,28,33,9,6,36,18,-11,94,105,15,16,1,41,37.6,0,0,109,81.4
2020,32,Clint Bowyer,11,4,10,1,34,14,35,62,27,38,61.3,8,72,66.1,9,8.3,109,90.4
2020,32,Kevin Harvick,4,7,11,4,36,16,5,85,80,25,29.4,0,61,56,0,0,109,83.7
2020,32,Tyler Reddick,16,6,12,3,35,16,-13,96,109,25,26,0,56,51.4,0,0,109,74.8
2020,32,Jimmie Johnson,30,8,13,4,38,16,-1,101,102,29,28.7,0,66,60.6,0,0,109,78.3
2020,32,Ryan Preece,18,13,14,1,34,15,-3,75,78,29,38.7,0,62,56.9,8,7.3,109,82.3
2020,32,Denny Hamlin,1,34,15,1,38,19,-32,91,123,14,15.4,2,48,44,0,0,109,74.5
2020,32,Aric Almirola,12,29,16,10,37,21,-33,89,122,22,24.7,0,33,30.3,0,0,109,61.7
2020,32,"Ricky Stenhouse, Jr.",38,12,17,3,38,22,5,95,90,7,7.4,1,25,22.9,0,0,109,59.6
