Season,Rank,Team,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2017,16,Ridge Racing,Ryan Newman,36,1,7,13,0,10075,46,17.1,15.8,32,13268.69,23,2196,"-2,844",5
2017,17,Ridge Racing,Joey Logano,36,1,10,17,2,10346,376,12.4,15.2,32,13583.91,23,930,"-4,110",1
2017,18,Chug,Clint Bowyer,36,0,6,13,0,10056,22,13.2,15.5,32,13175.03,25,871,"-4,169",1
2017,19,Chug,Erik Jones,36,0,5,14,1,9538,310,14.6,17.1,28,12555.05,22,863,"-4,177",0
2017,20,Lazy Dog Mom,Daniel Suarez,36,0,1,12,0,10084,40,13.9,16.2,30,13239.69,26,777,"-4,263",1
2017,21,Field,"Dale Earnhardt, Jr.",36,0,1,8,2,9747,47,17,20,29,12738.12,20,668,"-4,372",0
2017,22,Lazy Dog Mom,Trevor Bayne,36,0,2,6,0,10227,8,21.1,19.5,31,13512.7,20,660,"-4,380",0
2017,23,Lazy Dog Dad,Paul Menard,36,0,2,3,0,10405,5,21.7,19.6,33,13803.77,20,631,"-4,409",0
2017,24,Slobber Racing,Ty Dillon,36,0,0,0,0,10210,40,26.2,20.7,33,13526.47,20,593,"-4,447",0
2017,25,Julian Gangsta,Chris Buescher,36,0,0,4,0,9948,5,25.3,21.4,32,13479.42,14,564,"-4,476",0
2017,26,Gator Mom,Michael McDowell,36,0,1,1,0,10446,10,23.9,22.2,34,13798.27,12,542,"-4,498",0
2017,27,Gator Mom,A.J. Allmendinger,36,0,1,5,0,9941,7,23.9,22,31,13506.55,15,531,"-4,509",0
2017,28,Gator Dad,Danica Patrick,36,0,0,1,0,9888,7,22.1,23.8,25,13049.75,13,511,"-4,529",0
2017,29,Lazy Dog Dad,Aric Almirola,29,0,3,6,0,8509,2,22.4,18.8,26,10606.64,19,502,"-4,538",0
2017,30,Julian Gangsta,David Ragan,36,0,0,3,0,10188,4,29,24.9,32,13397.25,7,447,"-4,593",0
2017,31,Gator Dad,Landon Cassill,36,0,0,0,0,9815,12,29.4,26.5,30,13307.79,5,382,"-4,658",0
2017,32,Julian Gangsta,Matt DiBenedetto,36,0,0,2,0,9617,12,28.9,27.1,30,12831.67,9,363,"-4,677",0
2017,33,Slobber Racing,Cole Whitt,36,0,0,0,0,9724,3,32.1,28.2,27,12735.21,4,322,"-4,718",0
2017,34,Lazy Dog Mom,Gray Gaulding,27,0,0,1,0,7787,0,34.6,31.2,21,9597.1,2,164,"-4,876",0
