Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2019,7,Landon Cassill,32,32,30,9,39,32,-29,23,52,5,21.7,0,6,1.8,0,0,326,37.8
2019,7,B.J. McLeod,34,33,31,12,39,33,3,18,15,0,0,1,0,0,0,0,325,34.9
2019,7,Garrett Smithley,38,35,32,15,38,34,6,15,9,0,0,1,0,0,0,0,325,30.6
2019,7,Daniel Hemric,7,17,33,3,35,21,-13,98,111,38,38.8,1,68,21,0,0,324,52.6
2019,7,Reed Sorenson,37,34,34,13,38,35,7,16,9,0,0,1,0,0,0,0,322,28.1
2019,7,Bayley Currey,36,36,35,14,38,35,-5,19,24,0,0,1,0,0,0,0,320,30.7
2019,7,Brad Keselowski,12,39,36,4,39,32,6,54,48,15,27.8,5,32,11.5,0,0,279,57.9
2019,7,Ryan Blaney,13,3,37,1,35,17,-17,88,105,54,61.4,29,203,90.2,45,20,225,102.2
2019,7,Timmy Hill,39,37,38,16,39,38,1,4,3,0,0,0,0,0,0,0,168,24.2
2019,7,Kyle Larson,22,38,39,4,35,27,14,79,65,36,45.6,1,115,78.2,0,0,147,50.5
2019,6,Brad Keselowski,3,1,1,1,15,1,1,2,1,2,100,79,500,100,446,89.2,500,150
2019,6,Chase Elliott,7,3,2,1,19,2,4,10,6,10,100,82,499,99.8,49,9.8,500,124.1
2019,6,Ryan Blaney,17,2,4,1,19,5,16,29,13,23,79.3,32,498,99.6,0,0,500,114.4
2019,6,Kyle Busch,13,12,3,1,18,7,0,24,24,23,95.8,24,500,100,0,0,500,109.3
2019,6,Denny Hamlin,5,4,5,1,20,7,16,36,20,26,72.2,23,444,88.8,0,0,500,103.9
2019,6,Aric Almirola,2,5,9,1,21,7,1,33,32,33,100,26,495,99,0,0,500,102.5
2019,6,Kevin Harvick,4,7,6,1,20,7,2,21,19,20,95.2,27,500,100,0,0,500,101.4
2019,6,"Martin Truex, Jr.",8,6,8,1,21,7,-1,16,17,16,100,12,498,99.6,0,0,500,99
2019,6,Clint Bowyer,10,8,7,1,21,9,21,40,19,28,70,28,418,83.6,0,0,500,96.4
